
Scenario: 1

| Payment #|  Monthly Payment|       Interest|Towards Principle|Remaining Balance|
|       159|           843.21|         334.01|            509.2|         133093.4|
|       160|           843.21|         332.73|           510.47|        132582.92|
|       161|           843.21|         331.46|           511.75|        132071.17|
|       162|           843.21|         330.18|           513.03|        131558.14|
|       163|           843.21|          328.9|           514.31|        131043.83|
|       164|           843.21|         327.61|            515.6|        130528.23|
|       165|           843.21|         326.32|           516.89|        130011.34|
|       166|           843.21|         325.03|           518.18|        129493.16|
|       167|           843.21|         323.73|           519.48|        128973.69|
|       168|           843.21|         322.43|           520.77|        128452.92|
|       169|           843.21|         321.13|           522.08|        127930.84|
|       170|           843.21|         319.83|           523.38|        127407.46|
|       171|           843.21|         318.52|           524.69|        126882.77|
|       172|           843.21|         317.21|              526|        126356.77|
|       173|           843.21|         315.89|           527.32|        125829.45|
|       174|           843.21|         314.57|           528.63|        125300.82|
|       175|           843.21|         313.25|           529.96|        124770.86|
|       176|           843.21|         311.93|           531.28|        124239.58|
|       177|           843.21|          310.6|           532.61|        123706.97|
|       178|           843.21|         309.27|           533.94|        123173.03|
|       179|           843.21|         307.93|           535.28|        122637.76|
|       180|           843.21|         306.59|           536.61|        122101.14|
|       181|           843.21|         305.25|           537.96|        121563.19|
|       182|           843.21|         303.91|            539.3|        121023.89|
|       183|           843.21|         302.56|           540.65|        120483.24|
|       184|           843.21|         301.21|              542|        119941.24|
|       185|           843.21|         299.85|           543.35|        119397.88|
|       186|           843.21|         298.49|           544.71|        118853.17|
|       187|           843.21|         297.13|           546.08|        118307.09|
|       188|           843.21|         295.77|           547.44|        117759.65|
|       189|           843.21|          294.4|           548.81|        117210.85|
|       190|           843.21|         293.03|           550.18|        116660.66|
|       191|           843.21|         291.65|           551.56|        116109.11|
|       192|           843.21|         290.27|           552.94|        115556.17|
|       193|           843.21|         288.89|           554.32|        115001.86|
|       194|           843.21|          287.5|            555.7|        114446.15|
|       195|           843.21|         286.12|           557.09|        113889.06|
|       196|           843.21|         284.72|           558.49|        113330.57|
|       197|           843.21|         283.33|           559.88|        112770.69|
|       198|           843.21|         281.93|           561.28|        112209.41|
|       199|           843.21|         280.52|           562.68|        111646.73|
|       200|           843.21|         279.12|           564.09|        111082.63|
|       201|           843.21|         277.71|            565.5|        110517.13|
|       202|           843.21|         276.29|           566.92|        109950.22|
|       203|           843.21|         274.88|           568.33|        109381.89|
|       204|           843.21|         273.45|           569.75|        108812.13|
|       205|           843.21|         272.03|           571.18|        108240.95|
|       206|           843.21|          270.6|           572.61|        107668.35|
|       207|           843.21|         269.17|           574.04|        107094.31|
|       208|           843.21|         267.74|           575.47|        106518.84|
|       209|           843.21|          266.3|           576.91|        105941.93|
|       210|           843.21|         264.85|           578.35|        105363.58|
|       211|           843.21|         263.41|            579.8|        104783.78|
|       212|           843.21|         261.96|           581.25|        104202.53|
|       213|           843.21|         260.51|            582.7|        103619.83|
|       214|           843.21|         259.05|           584.16|        103035.67|
|       215|           843.21|         257.59|           585.62|        102450.05|
|       216|           843.21|         256.13|           587.08|        101862.97|
|       217|           843.21|         254.66|           588.55|        101274.41|
|       218|           843.21|         253.19|           590.02|        100684.39|
|       219|           843.21|         251.71|            591.5|         100092.9|
|       220|           843.21|         250.23|           592.98|         99499.92|
|       221|           843.21|         248.75|           594.46|         98905.46|
|       222|           843.21|         247.26|           595.94|         98309.52|
|       223|           843.21|         245.77|           597.43|         97712.08|
|       224|           843.21|         244.28|           598.93|         97113.15|
|       225|           843.21|         242.78|           600.43|         96512.73|
|       226|           843.21|         241.28|           601.93|          95910.8|
|       227|           843.21|         239.78|           603.43|         95307.37|
|       228|           843.21|         238.27|           604.94|         94702.43|
|       229|           843.21|         236.76|           606.45|         94095.98|
|       230|           843.21|         235.24|           607.97|         93488.01|
|       231|           843.21|         233.72|           609.49|         92878.52|
|       232|           843.21|          232.2|           611.01|         92267.51|
|       233|           843.21|         230.67|           612.54|         91654.97|
|       234|           843.21|         229.14|           614.07|          91040.9|
|       235|           843.21|          227.6|           615.61|          90425.3|
|       236|           843.21|         226.06|           617.14|         89808.15|
|       237|           843.21|         224.52|           618.69|         89189.46|
|       238|           843.21|         222.97|           620.23|         88569.23|
|       239|           843.21|         221.42|           621.78|         87947.45|
|       240|           843.21|         219.87|           623.34|         87324.11|
|       241|           843.21|         218.31|            624.9|         86699.21|
|       242|           843.21|         216.75|           626.46|         86072.75|
|       243|           843.21|         215.18|           628.03|         85444.72|
|       244|           843.21|         213.61|            629.6|         84815.13|
|       245|           843.21|         212.04|           631.17|         84183.96|
|       246|           843.21|         210.46|           632.75|         83551.21|
|       247|           843.21|         208.88|           634.33|         82916.88|
|       248|           843.21|         207.29|           635.92|         82280.96|
|       249|           843.21|          205.7|           637.51|         81643.46|
|       250|           843.21|         204.11|            639.1|         81004.36|
|       251|           843.21|         202.51|            640.7|         80363.66|
|       252|           843.21|         200.91|            642.3|         79721.36|
|       253|           843.21|          199.3|            643.9|         79077.46|
|       254|           843.21|         197.69|           645.51|         78431.94|
|       255|           843.21|         196.08|           647.13|         77784.81|
|       256|           843.21|         194.46|           648.75|         77136.07|
|       257|           843.21|         192.84|           650.37|          76485.7|
|       258|           843.21|         191.21|           651.99|          75833.7|
|       259|           843.21|         189.58|           653.62|         75180.08|
|       260|           843.21|         187.95|           655.26|         74524.82|
|       261|           843.21|         186.31|            656.9|         73867.93|
|       262|           843.21|         184.67|           658.54|         73209.39|
|       263|           843.21|         183.02|           660.18|          72549.2|
|       264|           843.21|         181.37|           661.84|         71887.37|
|       265|           843.21|         179.72|           663.49|         71223.88|
|       266|           843.21|         178.06|           665.15|         70558.73|
|       267|           843.21|          176.4|           666.81|         69891.92|
|       268|           843.21|         174.73|           668.48|         69223.44|
|       269|           843.21|         173.06|           670.15|         68553.29|
|       270|           843.21|         171.38|           671.82|         67881.47|
|       271|           843.21|          169.7|            673.5|         67207.96|
|       272|           843.21|         168.02|           675.19|         66532.77|
|       273|           843.21|         166.33|           676.88|          65855.9|
|       274|           843.21|         164.64|           678.57|         65177.33|
|       275|           843.21|         162.94|           680.26|         64497.07|
|       276|           843.21|         161.24|           681.97|          63815.1|
|       277|           843.21|         159.54|           683.67|         63131.43|
|       278|           843.21|         157.83|           685.38|         62446.05|
|       279|           843.21|         156.12|           687.09|         61758.96|
|       280|           843.21|          154.4|           688.81|         61070.15|
|       281|           843.21|         152.68|           690.53|         60379.61|
|       282|           843.21|         150.95|           692.26|         59687.36|
|       283|           843.21|         149.22|           693.99|         58993.37|
|       284|           843.21|         147.48|           695.72|         58297.64|
|       285|           843.21|         145.74|           697.46|         57600.18|
|       286|           843.21|            144|           699.21|         56900.97|
|       287|           843.21|         142.25|           700.96|         56200.01|
|       288|           843.21|          140.5|           702.71|         55497.31|
|       289|           843.21|         138.74|           704.46|         54792.84|
|       290|           843.21|         136.98|           706.23|         54086.61|
|       291|           843.21|         135.22|           707.99|         53378.62|
|       292|           843.21|         133.45|           709.76|         52668.86|
|       293|           843.21|         131.67|           711.54|         51957.33|
|       294|           843.21|         129.89|           713.31|         51244.01|
|       295|           843.21|         128.11|            715.1|         50528.91|
|       296|           843.21|         126.32|           716.89|         49812.03|
|       297|           843.21|         124.53|           718.68|         49093.35|
|       298|           843.21|         122.73|           720.47|         48372.87|
|       299|           843.21|         120.93|           722.28|          47650.6|
|       300|           843.21|         119.13|           724.08|         46926.52|
|       301|           843.21|         117.32|           725.89|         46200.63|
|       302|           843.21|          115.5|           727.71|         45472.92|
|       303|           843.21|         113.68|           729.53|         44743.39|
|       304|           843.21|         111.86|           731.35|         44012.04|
|       305|           843.21|         110.03|           733.18|         43278.87|
|       306|           843.21|          108.2|           735.01|         42543.85|
|       307|           843.21|         106.36|           736.85|         41807.01|
|       308|           843.21|         104.52|           738.69|         41068.32|
|       309|           843.21|         102.67|           740.54|         40327.78|
|       310|           843.21|         100.82|           742.39|         39585.39|
|       311|           843.21|          98.96|           744.24|         38841.14|
|       312|           843.21|           97.1|           746.11|         38095.04|
|       313|           843.21|          95.24|           747.97|         37347.07|
|       314|           843.21|          93.37|           749.84|         36597.23|
|       315|           843.21|          91.49|           751.71|         35845.51|
|       316|           843.21|          89.61|           753.59|         35091.92|
|       317|           843.21|          87.73|           755.48|         34336.44|
|       318|           843.21|          85.84|           757.37|         33579.07|
|       319|           843.21|          83.95|           759.26|         32819.81|
|       320|           843.21|          82.05|           761.16|         32058.66|
|       321|           843.21|          80.15|           763.06|         31295.59|
|       322|           843.21|          78.24|           764.97|         30530.62|
|       323|           843.21|          76.33|           766.88|         29763.74|
|       324|           843.21|          74.41|            768.8|         28994.94|
|       325|           843.21|          72.49|           770.72|         28224.22|
|       326|           843.21|          70.56|           772.65|         27451.58|
|       327|           843.21|          68.63|           774.58|            26677|
|       328|           843.21|          66.69|           776.52|         25900.48|
|       329|           843.21|          64.75|           778.46|         25122.03|
|       330|           843.21|          62.81|            780.4|         24341.62|
|       331|           843.21|          60.85|           782.35|         23559.27|
|       332|           843.21|           58.9|           784.31|         22774.96|
|       333|           843.21|          56.94|           786.27|         21988.69|
|       334|           843.21|          54.97|           788.24|         21200.45|
|       335|           843.21|             53|           790.21|         20410.24|
|       336|           843.21|          51.03|           792.18|         19618.06|
|       337|           843.21|          49.05|           794.16|          18823.9|
|       338|           843.21|          47.06|           796.15|         18027.75|
|       339|           843.21|          45.07|           798.14|         17229.61|
|       340|           843.21|          43.07|           800.13|         16429.48|
|       341|           843.21|          41.07|           802.13|         15627.34|
|       342|           843.21|          39.07|           804.14|          14823.2|
|       343|           843.21|          37.06|           806.15|         14017.05|
|       344|           843.21|          35.04|           808.17|         13208.89|
|       345|           843.21|          33.02|           810.19|          12398.7|
|       346|           843.21|             31|           812.21|         11586.49|
|       347|           843.21|          28.97|           814.24|         10772.25|
|       348|           843.21|          26.93|           816.28|          9955.97|
|       349|           843.21|          24.89|           818.32|          9137.65|
|       350|           843.21|          22.84|           820.36|          8317.29|
|       351|           843.21|          20.79|           822.41|          7494.87|
|       352|           843.21|          18.74|           824.47|           6670.4|
|       353|           843.21|          16.68|           826.53|          5843.87|
|       354|           843.21|          14.61|            828.6|          5015.27|
|       355|           843.21|          12.54|           830.67|           4184.6|
|       356|           843.21|          10.46|           832.75|          3351.86|
|       357|           843.21|           8.38|           834.83|          2517.03|
|       358|           843.21|           6.29|           836.92|          1680.11|
|       359|           843.21|            4.2|           839.01|           841.11|
|       360|           843.21|            2.1|           841.11|                0|
----------------------------------------------------------------------------------

Total Interst Paid: 103554.91

----------------------------------------------------------------------------------

