
Scenario: 2

| Payment #|  Monthly Payment|       Interest|Towards Principle|Remaining Balance|
|       153|          1059.81|         177.36|           882.45|         84249.94|
|       154|          1059.81|         175.52|           884.29|         83365.66|
|       155|          1059.81|         173.68|           886.13|         82479.53|
|       156|          1059.81|         171.83|           887.97|         81591.56|
|       157|          1059.81|         169.98|           889.82|         80701.73|
|       158|          1059.81|         168.13|           891.68|         79810.06|
|       159|          1059.81|         166.27|           893.53|         78916.52|
|       160|          1059.81|         164.41|            895.4|         78021.13|
|       161|          1059.81|         162.54|           897.26|         77123.86|
|       162|          1059.81|         160.67|           899.13|         76224.73|
|       163|          1059.81|          158.8|              901|         75323.73|
|       164|          1059.81|         156.92|           902.88|         74420.85|
|       165|          1059.81|         155.04|           904.76|         73516.08|
|       166|          1059.81|         153.16|           906.65|         72609.44|
|       167|          1059.81|         151.27|           908.54|          71700.9|
|       168|          1059.81|         149.38|           910.43|         70790.47|
|       169|          1059.81|         147.48|           912.33|         69878.15|
|       170|          1059.81|         145.58|           914.23|         68963.92|
|       171|          1059.81|         143.67|           916.13|         68047.79|
|       172|          1059.81|         141.77|           918.04|         67129.75|
|       173|          1059.81|         139.85|           919.95|          66209.8|
|       174|          1059.81|         137.94|           921.87|         65287.93|
|       175|          1059.81|         136.02|           923.79|         64364.14|
|       176|          1059.81|         134.09|           925.71|         63438.43|
|       177|          1059.81|         132.16|           927.64|         62510.78|
|       178|          1059.81|         130.23|           929.57|         61581.21|
|       179|          1059.81|         128.29|           931.51|          60649.7|
|       180|          1059.81|         126.35|           933.45|         59716.24|
|       181|          1059.81|         124.41|            935.4|         58780.85|
|       182|          1059.81|         122.46|           937.35|          57843.5|
|       183|          1059.81|         120.51|            939.3|          56904.2|
|       184|          1059.81|         118.55|           941.26|         55962.95|
|       185|          1059.81|         116.59|           943.22|         55019.73|
|       186|          1059.81|         114.62|           945.18|         54074.55|
|       187|          1059.81|         112.66|           947.15|          53127.4|
|       188|          1059.81|         110.68|           949.12|         52178.28|
|       189|          1059.81|          108.7|            951.1|         51227.18|
|       190|          1059.81|         106.72|           953.08|         50274.09|
|       191|          1059.81|         104.74|           955.07|         49319.02|
|       192|          1059.81|         102.75|           957.06|         48361.97|
|       193|          1059.81|         100.75|           959.05|         47402.92|
|       194|          1059.81|          98.76|           961.05|         46441.87|
|       195|          1059.81|          96.75|           963.05|         45478.81|
|       196|          1059.81|          94.75|           965.06|         44513.76|
|       197|          1059.81|          92.74|           967.07|         43546.69|
|       198|          1059.81|          90.72|           969.08|          42577.6|
|       199|          1059.81|           88.7|            971.1|          41606.5|
|       200|          1059.81|          86.68|           973.13|         40633.37|
|       201|          1059.81|          84.65|           975.15|         39658.22|
|       202|          1059.81|          82.62|           977.18|         38681.04|
|       203|          1059.81|          80.59|           979.22|         37701.82|
|       204|          1059.81|          78.55|           981.26|         36720.56|
|       205|          1059.81|           76.5|            983.3|         35737.25|
|       206|          1059.81|          74.45|           985.35|          34751.9|
|       207|          1059.81|           72.4|           987.41|         33764.49|
|       208|          1059.81|          70.34|           989.46|         32775.03|
|       209|          1059.81|          68.28|           991.52|         31783.51|
|       210|          1059.81|          66.22|           993.59|         30789.92|
|       211|          1059.81|          64.15|           995.66|         29794.26|
|       212|          1059.81|          62.07|           997.73|         28796.52|
|       213|          1059.81|          59.99|           999.81|         27796.71|
|       214|          1059.81|          57.91|           1001.9|         26794.81|
|       215|          1059.81|          55.82|          1003.98|         25790.83|
|       216|          1059.81|          53.73|          1006.07|         24784.75|
|       217|          1059.81|          51.63|          1008.17|         23776.58|
|       218|          1059.81|          49.53|          1010.27|         22766.31|
|       219|          1059.81|          47.43|          1012.38|         21753.94|
|       220|          1059.81|          45.32|          1014.49|         20739.45|
|       221|          1059.81|          43.21|           1016.6|         19722.85|
|       222|          1059.81|          41.09|          1018.72|         18704.14|
|       223|          1059.81|          38.97|          1020.84|          17683.3|
|       224|          1059.81|          36.84|          1022.97|         16660.33|
|       225|          1059.81|          34.71|           1025.1|         15635.23|
|       226|          1059.81|          32.57|          1027.23|            14608|
|       227|          1059.81|          30.43|          1029.37|         13578.63|
|       228|          1059.81|          28.29|          1031.52|         12547.11|
|       229|          1059.81|          26.14|          1033.67|         11513.45|
|       230|          1059.81|          23.99|          1035.82|         10477.63|
|       231|          1059.81|          21.83|          1037.98|          9439.65|
|       232|          1059.81|          19.67|          1040.14|          8399.51|
|       233|          1059.81|           17.5|          1042.31|           7357.2|
|       234|          1059.81|          15.33|          1044.48|          6312.72|
|       235|          1059.81|          13.15|          1046.65|          5266.07|
|       236|          1059.81|          10.97|          1048.83|          4217.24|
|       237|          1059.81|           8.79|          1051.02|          3166.22|
|       238|          1059.81|            6.6|          1053.21|          2113.01|
|       239|          1059.81|            4.4|           1055.4|           1057.6|
|       240|          1059.81|            2.2|           1057.6|                0|
----------------------------------------------------------------------------------

Total Interst Paid: 54353.33

----------------------------------------------------------------------------------

